x1_mol,T_K,P_atm,y1_mol
0.878,355.80347283756737,1.2,0.8812099307316282
0.881,355.8018550088072,1.2,0.883494643420826
0.884,355.8006017346329,1.2,0.8858042199097006
0.887,355.7997193756096,1.2,0.8881391123032639
0.89,355.79921443285156,1.2,0.8904997818480916
0.893,355.7990935508172,1.2,0.8928866991904989
0.895,355.79922967718005,1.2,0.8944927963139078
0.896,355.7993635201895,1.2,0.8953003446430856
0.899,355.80003128084854,1.2,0.8977412084599848
0.9,355.8003434871545,1.2,0.8985609644602366
0.905,355.80258870001256,1.2,0.9027066036260813
0.91,355.80599936076084,1.2,0.9069321131142449
0.915,355.8106107649931,1.2,0.9112399781825291
0.92,355.8164595039912,1.2,0.9156327742618098
0.925,355.8235835122452,1.2,0.9201131714165248
0.93,355.8320221175361,1.2,0.9246839390643193
0.935,355.84181609373746,1.2,0.9293479509729199
0.94,355.853007716503,1.2,0.9341081905537579
0.945,355.8656408220189,1.2,0.9389677564734413
0.95,355.87976086901347,1.2,0.9439298686058952
0.955,355.89541500423195,1.2,0.94899787434988
0.965,355.93152298530663,1.2,0.9594656345708279
0.97,355.95208020709725,1.2,0.9648727839938726
0.975,355.9743784280013,1.2,0.9704006325745796
0.98,355.99847435485066,1.2,0.9760532748936164
0.982,356.00862919607675,1.2,0.9783502243115342
0.984,356.0190849328248,1.2,0.9806681031276137
0.986,356.02984549212437,1.2,0.9830071975376885
0.988,356.04091486104767,1.2,0.9853677986714321
0.99,356.0522970877935,1.2,0.9877502027025692
0.992,356.0639962827971,1.2,0.9901547109620357
0.994,356.0760166198672,1.2,0.9925816300541767
0.996,356.0883623373491,1.2,0.9950312719760805
0.998,356.1010377393176,1.2,0.997503954240148
0.3,366.6651997182642,1.5,0.5950542026057883
0.42,364.6581857093056,1.5,0.6591536565218914
0.46,364.17403140276826,1.5,0.6766605013920106
0.58,363.04678652222225,1.5,0.7252744864478698
0.66,362.4864179006697,1.5,0.7583938286717359
0.71,362.19980771618486,1.5,0.780963100509467
0.72,362.1484303577128,1.5,0.785737296859698
0.74,362.05193336755013,1.5,0.795601780415703
0.75,362.0069316834554,1.5,0.8007071396854629
0.76,361.9641884941564,1.5,0.805938467650407
0.8,361.8175970784038,1.5,0.8282962775752517
0.806,361.79924792169294,1.5,0.8318716841574503
0.809,361.7904564306365,1.5,0.8336832923903733
0.812,361.7819252778143,1.5,0.8355112234272948
0.815,361.773658293878,1.5,0.8373557727935532
0.818,361.7656594076194,1.5,0.8392172408796006
0.824,361.75048214255344,1.5,0.8429921598784301
0.827,361.74331212501335,1.5,0.8449062370802466
0.83,361.7364269307505,1.5,0.8468384858570193
0.833,361.72983100143716,1.5,0.8487892329389013
0.836,361.7235288860909,1.5,0.8507588107535318
0.839,361.7175252427804,1.5,0.8527475575787768
0.842,361.71182484038604,1.5,0.8547558176998601
0.845,361.70643256041404,1.5,0.8567839415710474
0.848,361.7013533988671,1.5,0.8588322859820504
0.851,361.6965924681732,1.5,0.8609012142293236
0.854,361.69215499917277,1.5,0.8629910962924315
0.857,361.6880463431693,1.5,0.8651023090156744
0.86,361.68427197404077,1.5,0.8672352362951703
0.863,361.68083749041807,1.5,0.86939026927159
0.866,361.67774861792964,1.5,0.8715678065287642
0.869,361.6750112115153,1.5,0.8737682542983737
0.872,361.67263125781204,1.5,0.8759920266709591
0.875,361.67061487761276,1.5,0.8782395458134868
0.878,361.6689683284015,1.5,0.8805112421937208
0.881,361.66769800696676,1.5,0.8828075548116572
0.884,361.6668104520963,1.5,0.8851289314382967
0.887,361.66631234735416,1.5,0.8874758288620348
0.89,361.6662105239463,1.5,0.8898487131429673
0.893,361.66651196367303,1.5,0.892248059875416
0.895,361.66694047582354,1.5,0.893862565017285
0.896,361.6672238019756,1.5,0.8946743544589967
0.899,361.66835333107605,1.5,0.89712809237857
0.9,361.6688239443223,1.5,0.8979521906654685
0.905,361.67189543400735,1.5,0.9021199323360202
0.91,361.67619071897184,1.5,0.9063682154408841
0.915,361.6817468881107,1.5,0.9106995526164178
0.92,361.68860239281196,1.5,0.9151165480159918
0.925,361.69679709721356,1.5,0.9196219018501317
0.93,361.7063723311764,1.5,0.9242184151913412
0.935,361.71737094614264,1.5,0.9289089950621353
0.94,361.72983737405326,1.5,0.933696659826278
0.95,361.7593596754481,1.5,0.9435759088405564
0.955,361.776512892352,1.5,0.9486741397355771
0.97,361.8381637652165,1.5,0.9646460052554928
0.975,361.8622957155297,1.5,0.9702084248369054
0.98,361.8883160781574,1.5,0.9758968504195938
0.982,361.89926676962136,1.5,0.9782084650146957
0.986,361.92212056776765,1.5,0.9828953922265898
0.988,361.93403199908215,1.5,0.9852712898670236
0.994,361.97175572416404,1.5,0.9925323368605294
0.996,361.98500808079865,1.5,0.9949981732281761
0.998,361.99860681808474,1.5,0.9974872850712565
